timestamp,ping,download,upload
1615659505927.608,44.2,21.99,6.46
1615659564238.562,47.23,21.28,8.54
1615659625004.576,45.25,21.76,8.75
1615659684217.366,43.04,25.52,8.77
1615659744464.577,44.76,22.98,9.01
1615659807049.61,42.24,21.61,7.31
1615659866832.805,48.91,23.88,9.34
1615659924392.911,48.33,26.2,9.1
1615659985316.395,52.45,20.59,8.04
1615660047895.247,47.67,22.35,7.24
1615660107017.661,48.23,22.27,6.45
1615660164317.304,43.59,22.08,8.45
1615660204290.784,0,0,0
1615660284335.06,47.7,18.01,9.08
1615660344328.766,47.38,24.45,8.89
1615660404663.736,44.62,22.42,7.1
1615660471274.669,46.57,22.43,5.49
1615660524389.198,47.58,23.34,8.98
1615660584628.247,41.35,27.02,8.95
1615660645330.336,47.79,25.3,7.83
1615660704448.941,46.55,22.23,8.97
1615660765016.803,49.18,18.96,8.66
1615660824774.253,51.28,19.7,6.57
1615660885872.996,46.35,23.36,5.99
1615660946969.153,45.44,23.75,7.91
1615661005439.237,48.41,20.75,8.19
1615661064047.269,42.73,23.68,8.36
1615661124578.841,35.53,21.15,9.03
1615661184573.676,43.19,15.46,8.79
1615661255451.996,46.69,16.27,4.32
1615661304542.088,32.56,22.83,7.45
1615661367964.036,34.02,19.53,8.28
1615661426344.529,43.66,24.18,7.33
1615661486057.597,41.05,22.05,8.22
1615661546383.776,37.67,19.45,9.7
1615661605987.911,34.79,25.0,7.07
1615661665757.798,36.38,20.44,7.62
1615661724420.642,43.88,26.21,8.78
1615661784598.377,42.45,25.83,8.91
1615661845196.198,33.82,21.3,8.13
1615661905582.409,38.8,17.74,7.13
1615661966828.54,44.83,20.44,9.43
1615662004260.693,0,0,0
1615662084557.979,32.73,21.14,8.75
1615662144490.695,35.63,15.94,8.91
1615662204494.646,38.82,22.8,9.43
1615662264415.102,37.44,24.2,9.13
1615662325986.093,37.79,20.2,7.78
1615662384797.572,43.03,25.76,8.4
1615662445465.114,44.44,23.01,7.76
1615662504434.779,45.7,22.45,8.21
1615662563416.405,44.91,22.41,9.11
1615662622953.727,38.1,24.93,9.29
1615662684289.612,44.36,21.54,8.08
1615662743689.885,42.45,23.46,8.52
1615662806175.272,35.25,19.67,6.6
1615662863453.527,46.51,24.97,9.22
1615662924396.551,39.74,22.46,8.26
1615662984504.013,38.65,18.9,4.51
1615663055986.645,36.69,19.12,8.32
1615663103870.344,47.96,23.99,9.32
1615663175611.467,51.08,14.42,5.1
1615663233385.316,45.8,22.11,9.27
1615663286645.304,48.08,17.23,2.9
1615663345747.599,33.99,24.18,8.76
1615663411010.262,37.19,21.94,7.72
1615663463595.13,48.82,24.14,8.55
1615663523953.629,46.76,17.58,8.86
1615663582760.242,36.29,22.31,8.57
1615663644726.762,50.56,21.1,4.15
1615663713280.825,36.97,23.34,8.67
1615663768580.784,49.46,18.95,7.38
1615663803482.486,0,0,0
1615663883882.739,51.47,22.99,8.95
1615663946439.818,43.71,20.03,2.58
1615664013206.478,39.94,20.87,8.92
1615664064460.291,47.63,25.58,8.93
1615664124435.36,37.83,22.3,9.78
1615664184080.503,49.17,24.4,9.59
1615664243279.263,44.55,24.76,9.12
1615664303774.35,52.14,24.43,9.23
1615664363546.844,49.52,21.56,9.19
1615664425969.086,38.96,21.33,9.13
1615664483795.444,50.43,26.13,9.07
1615664543287.03,44.85,22.07,9.24
1615664603953.112,50.4,21.6,8.26
1615664664613.869,43.45,16.33,2.49
1615664728042.728,48.66,18.87,2.66
1615664783955.409,46.6,23.77,8.63
1615664853029.737,35.88,22.86,8.98
1615664903970.64,46.01,25.62,8.8
1615664978480.806,41.28,10.91,3.81
1615665044397.98,46.15,20.52,8.1
1615665083799.093,47.07,24.02,9.18
1615665144308.769,48.11,21.36,8.77
1615665204359.154,48.3,21.43,9.37
1615665264017.086,46.68,19.62,8.89
1615665323424.332,48.19,25.41,8.58
1615665383999.392,44.06,23.78,8.89
1615665455939.629,49.9,12.51,4.48
1615665513150.038,39.29,22.02,8.97
1615665573241.705,38.45,19.77,9.11
1615665603597.096,0,0,0
1615665683799.678,44.18,23.35,8.38
1615665746446.328,40.94,16.09,5.37
1615665804089.979,53.48,22.5,9.21
1615665864743.116,48.27,26.25,7.87
1615665925752.721,39.85,21.37,7.97
1615665986648.214,46.27,15.24,9.09
1615666053178.425,38.52,24.08,8.03
1615666106672.387,60.11,18.71,8.66
1615666172871.18,41.46,4.69,1.25
1615666236167.388,55.33,4.42,5.62
1615666283821.677,46.67,24.44,9.14
1615666343810.997,47.72,22.97,9.42
